u(k), y(k)
58.750369, 44.680000, 58.637811
44.680000, 58.567553, 44.680000
57.937519, 44.750000, 57.495455
44.750000, 57.209196, 44.750000
57.049056, 44.750000, 56.988620
44.750000, 57.004610, 44.750000
56.564072, 44.810000, 56.295929
44.810000, 56.169176, 44.810000
55.643402, 44.870000, 55.336381
44.870000, 55.201748, 44.870000
55.195134, 44.870000, 54.762289
44.930000, 55.028656, 44.870000
55.302954, 44.870000, 55.571371
44.870000, 55.312995, 44.930000
55.678130, 44.870000, 55.991460
44.870000, 55.738468, 44.930000
55.562773, 44.930000, 55.440805
44.930000, 55.355490, 44.930000
55.296078, 44.930000, 54.653840
45.000000, 54.176204, 45.000000
53.838685, 45.000000, 53.621825
45.000000, 53.503868, 45.000000
53.466147, 45.000000, 53.496167
45.000000, 53.579119, 45.000000
