u(k), y(k), y_simulation(k)
u(k), y(k), y_simulation(k)
48.273256, 45.000000, 43.692113
47.952058, 45.060000, 43.686398
48.162404, 45.000000, 43.680966
48.264996, 45.000000, 43.675914
47.769794, 45.060000, 43.670867
47.858384, 45.000000, 43.666247
47.886606, 45.000000, 43.662533
47.875852, 45.000000, 43.659747
47.842147, 45.000000, 43.657744
47.796886, 45.000000, 43.656325
47.747295, 45.000000, 43.655295
47.701776, 45.000000, 43.654988
